,s0_train,s1_train,s2_train
300,297.0,294.99999999999994,287.8
301,296.0,295.19999999999993,291.0
302,294.0,294.99999999999994,293.6
303,293.0,295.19999999999993,295.0
304,295.0,295.59999999999997,295.2
305,298.0,296.19999999999993,295.0
306,298.0,297.19999999999993,295.2
307,297.0,299.19999999999993,295.6
308,298.0,302.99999999999994,296.2
309,305.0,308.79999999999995,297.2
310,317.0,316.19999999999993,299.2
311,327.0,324.19999999999993,303.0
312,334.0,333.9999999999999,308.8
313,338.0,342.3999999999999,316.2
314,354.0,348.59999999999997,324.2
315,359.0,353.3999999999999,334.0
316,358.0,357.5999999999999,342.4
317,358.0,358.4,348.6
318,359.0,357.5999999999999,353.4
319,358.0,355.9999999999999,357.6
320,355.0,352.5999999999999,358.4
321,350.0,347.19999999999993,357.6
322,341.0,341.99999999999994,356.0
323,332.0,336.79999999999995,352.6
324,332.0,331.19999999999993,347.2
325,329.0,326.19999999999993,342.0
326,322.0,321.5999999999999,336.8
327,316.0,315.79999999999995,331.2
328,309.0,310.3999999999999,326.2
329,303.0,305.79999999999995,321.6
330,302.0,301.19999999999993,315.8
331,299.0,294.5999999999999,310.4
332,293.0,287.79999999999995,305.8
333,276.0,279.99999999999994,301.2
334,269.0,272.0,294.6
335,263.0,264.19999999999993,287.8
336,259.0,258.59999999999997,280.0
337,254.0,254.79999999999995,272.0
338,248.0,252.19999999999996,264.2
339,250.0,250.39999999999998,258.6
340,250.0,249.79999999999995,254.8
341,250.0,249.99999999999994,252.2
342,251.0,249.59999999999997,250.4
343,249.0,248.79999999999995,249.8
344,248.0,247.59999999999994,250.0
345,246.0,246.39999999999995,249.6
346,244.0,245.19999999999993,248.8
347,245.0,243.59999999999994,247.6
348,243.0,241.99999999999994,246.4
349,240.0,239.99999999999994,245.2
350,238.0,236.79999999999995,243.6
351,234.0,233.79999999999995,242.0
352,229.0,231.19999999999996,240.0
353,228.0,228.79999999999995,236.8
354,227.0,227.19999999999996,233.8
355,226.0,226.59999999999997,231.2
356,226.0,226.39999999999995,228.8
357,226.0,227.19999999999993,227.2
358,227.0,229.59999999999997,226.6
359,231.0,233.79999999999995,226.4
360,238.0,239.99999999999994,227.2
361,247.0,247.39999999999995,229.6
362,257.0,254.79999999999995,233.8
363,264.0,261.5999999999999,240.0
364,268.0,266.99999999999994,247.4
365,272.0,270.4,254.8
366,274.0,272.99999999999994,261.6
367,274.0,275.19999999999993,267.0
368,277.0,277.19999999999993,270.4
369,279.0,279.19999999999993,273.0
370,282.0,280.99999999999994,275.2
371,284.0,281.79999999999995,277.2
372,283.0,282.99999999999994,279.2
373,281.0,284.79999999999995,281.0
374,285.0,286.99999999999994,281.8
375,291.0,291.19999999999993,283.0
376,295.0,296.19999999999993,284.8
377,304.0,300.4,287.0
378,306.0,303.5999999999999,291.2
379,306.0,306.3999999999999,296.2
380,307.0,308.19999999999993,300.4
381,309.0,309.99999999999994,303.6
382,313.0,311.5999999999999,306.4
383,315.0,312.5999999999999,308.2
384,314.0,312.59999999999997,310.0
385,312.0,310.99999999999994,311.6
386,309.0,307.99999999999994,312.6
